entry_date,symbol,direction,xgb_prob,ev_gate,grade,score,stop_source,actual_stop,rr_actual
2026-03-02T09:30:00+00:00,SPY,LONG,0.5,-0.5953,B,5.0,ICT_STRUCTURE,681.6735714285714,0.6399049470727459
2026-03-02T09:30:00+00:00,QQQ,LONG,0.5,-1.1324,B,5.0,ICT_STRUCTURE,602.7728571428572,0.38410256410254684
2026-03-02T09:30:00+00:00,NVDA,LONG,0.5,4.5014,A,7.0,ICT_STRUCTURE,174.68053571428572,4.159448517891834
2026-03-02T09:30:00+00:00,TSLA,LONG,0.5,-0.5194,A,7.0,ICT_STRUCTURE,397.0910714285714,0.8054237741654937
2026-03-02T09:30:00+00:00,GLD,SHORT,0.5,2.558,A,7.0,ICT_STRUCTURE,480.54660714285717,2.5725144080355746
2026-03-02T09:30:00+00:00,SLV,SHORT,0.5,1.8524,B,5.0,ICT_STRUCTURE,83.45,3.469866666666674
2026-03-02T09:30:00+00:00,AAPL,LONG,0.5,0.4889,A,7.0,ICT_STRUCTURE,260.70142857142855,1.2902798982188393
2026-03-02T09:30:00+00:00,MSFT,LONG,0.5,-1.4436,B,5.0,ICT_STRUCTURE,388.3675,0.3486520022560564
2026-03-02T09:30:00+00:00,AMZN,SHORT,0.5,-0.1918,B,5.0,ICT_STRUCTURE,207.14785714285713,0.8661933233681961
2026-03-02T09:30:00+00:00,GOOGL,SHORT,0.5,-1.233,B,5.0,ICT_STRUCTURE,307.6926785714286,0.3623696726231762
2026-03-02T14:00:00+00:00,SPY,LONG,0.5,0.1171,A,7.0,ICT_STRUCTURE,679.4492857142858,1.065982699658015
2026-03-02T14:00:00+00:00,QQQ,LONG,0.5,-0.3527,A,7.0,ICT_STRUCTURE,600.0451785714286,0.8285900273401858
2026-03-02T14:00:00+00:00,NVDA,LONG,0.5,3.0801,A,7.0,ICT_STRUCTURE,176.69017857142856,3.029832303618729
2026-03-02T14:00:00+00:00,TSLA,LONG,0.5,2.5287,A,7.0,ICT_STRUCTURE,391.02,2.015522088353416
2026-03-02T14:00:00+00:00,GLD,SHORT,0.5,5.0731,A,7.0,ICT_STRUCTURE,486.7339285714286,4.101775302980682
2026-03-02T14:00:00+00:00,SLV,SHORT,0.5,-0.2929,A,6.5,MAX_RISK_CAP,79.54642857142856,0.7031415128483508
2026-03-02T14:00:00+00:00,AAPL,LONG,0.5,0.9301,A,7.0,ICT_STRUCTURE,259.7635714285715,1.5477139852786503
2026-03-02T14:00:00+00:00,MSFT,SHORT,0.5,-0.1476,C,3.5,ICT_STRUCTURE,393.9355357142857,0.9286950519822198
2026-03-02T14:00:00+00:00,AMZN,LONG,0.5,-1.2744,A,7.0,ICT_STRUCTURE,203.93303571428572,0.17697976128696669
2026-03-02T14:00:00+00:00,GOOGL,LONG,0.5,0.9744,A,7.0,ICT_STRUCTURE,301.08910714285713,1.5472804774083542
2026-03-03T09:30:00+00:00,SPY,LONG,0.5,-1.606,C,3.5,ICT_STRUCTURE,681.9262500000001,0.20175209692447052
2026-03-03T09:30:00+00:00,QQQ,LONG,0.5,-1.8456,C,3.5,ICT_STRUCTURE,602.9625,0.14701328711727998
2026-03-03T09:30:00+00:00,NVDA,LONG,0.5,1.4664,C,3.5,ICT_STRUCTURE,179.73624999999998,2.1351136913401123
2026-03-03T09:30:00+00:00,TSLA,LONG,0.5,-1.9851,C,4.5,ICT_STRUCTURE,397.7782142857143,0.27836416747810067
2026-03-03T09:30:00+00:00,GLD,SHORT,0.5,3.6302,B,5.0,ICT_STRUCTURE,486.76089285714284,2.995102801903934
2026-03-03T09:30:00+00:00,SLV,SHORT,0.5,-0.6472,C,3.5,MAX_RISK_CAP,79.46303571428572,0.3767517840254557
2026-03-03T09:30:00+00:00,AAPL,LONG,0.5,0.2991,B,5.0,ICT_STRUCTURE,261.1483928571429,1.168220113470908
2026-03-03T09:30:00+00:00,MSFT,SHORT,0.5,-0.217,B,6.0,ICT_STRUCTURE,393.97464285714284,0.8989706493722484
2026-03-03T09:30:00+00:00,AMZN,SHORT,0.5,-1.4129,B,5.0,ICT_STRUCTURE,205.2198214285714,0.07048928046989063
